UNIQUE_CARRIER,AIRLINE,Cancellation_Percentage
20366,ExpressJet Airlines LLC d/b/a aha!,5.565
20368,Allegiant Air,4.519
20378,Mesa Airlines Inc.,3.65
19393,Southwest Airlines Co.,3.377
20452,Republic Airline,3.247
20397,PSA Airlines Inc.,3.084
20398,Envoy Air,2.996
19805,American Airlines Inc.,2.847
20409,JetBlue Airways,2.693
20436,Frontier Airlines Inc.,2.584
20416,Spirit Air Lines,2.416
20304,SkyWest Airlines Inc.,2.253
19977,United Air Lines Inc.,2.175
20363,Endeavor Air Inc.,2.129
19930,Alaska Airlines Inc.,1.925
19687,Horizon Air,1.813
19790,Delta Air Lines Inc.,1.514
19690,Hawaiian Airlines Inc.,1.208
